event,node,start,end,latitude,longitude,accuracy
form start,,1611645051951,,,,
location tracking enabled,,1611645051962,,,,
location permissions granted,,1611645051969,,,,
location providers enabled,,1611645051969,,,,
question,/data/opening/opening1,1611645051980,1611645058775,51.7833456,-1.263456,14.895999908447266
question,/data/opening/consent,1611645058780,1611645064293,51.7833456,-1.263456,14.895999908447266
question,/data/talk/talks,1611645064298,1611645067314,51.7833456,-1.263456,14.895999908447266
group questions,/data/talk/talk_count[1]/feedback,1611645067319,1611645071364,51.7833456,-1.263456,14.895999908447266
question,/data/closing,1611645071371,1611645073043,51.7833456,-1.263456,14.895999908447266
end screen,,1611645073050,1611645075950,51.7833456,-1.263456,14.895999908447266
form save,,1611645076179,,51.7833456,-1.263456,14.895999908447266
form exit,,1611645076179,,51.7833456,-1.263456,14.895999908447266
form finalize,,1611645076179,,51.7833456,-1.263456,14.895999908447266
